id,category,sub_category,question_text,answer_type,answer_options,explanation,parent_id,trigger_value
90,Water Treatment,,What Chemicals and Materials are Used for Treatment?,TEXT,,,,
91,Water Treatment,,What is the Availability and Quality of Those Chemicals?,TEXT,,,,
92,Water Treatment,,How are the Chemicals Stored?,TEXT,,,,
93,Pump Mechanical & Electrical Information,,Is There Sufficient Disinfectant Contact Time?,TEXT,,,,
94,Pump Mechanical & Electrical Information,,What Parameters are Tested to Monitor Water Quality and at What Frequency?,TEXT,,,,
95,Pump Mechanical & Electrical Information,,What is the Capacity of the Treatment Operators? Training/Education/Licence Requirements?,TEXT,,,,
96,Pump Mechanical & Electrical Information,,What Emergencies Have They Experienced During Treatment?,MULTIPLE_CHOICE_MULTI,Shortage of disinfectants|Chemical spillover/overdosing|Insufficient treatment capacity during extreme weather events,,,
97,Pump Mechanical & Electrical Information,,How Were Treatment Emergencies Dealt With?,TEXT,,,,
98,Pump Mechanical & Electrical Information,,Year of Installation,TEXT,,,,
99,Pump Mechanical & Electrical Information,,Mode of Energy,MULTIPLE_CHOICE_SINGLE,Electricity|Generator|Solar,,,
100,Pump Mechanical & Electrical Information,,Discharge (Gallons/hr.),TEXT,,,,
101,Pump Mechanical & Electrical Information,,Daily Pumping Hours,TEXT,,,,
102,Pump Mechanical & Electrical Information,,Dry-Run Incident Reported?,YES_NO,,,,
103,Pump Mechanical & Electrical Information,,Top Set,MULTIPLE_CHOICE_MULTI,Reflux valve|Sluice valve|Flowmeter|Pressure gauge|Bore cover/plate|Washout/discharge Tee|Suspension clamps,,,
104,Pump Mechanical & Electrical Information,,Pump Type,MULTIPLE_CHOICE_SINGLE,Submersible|Turbine|Other,,,
105,Pump Mechanical & Electrical Information,,Pump Manufacturer,MULTIPLE_CHOICE_SINGLE,MAK|KSB|Flow Pak|PECO|Other,,,
106,Pump Mechanical & Electrical Information,,Motor (HP),MULTIPLE_CHOICE_SINGLE,10|15|20|25|30|Other,,,
107,Pump Mechanical & Electrical Information,,Pump Setting - Column Pipe Length (m),TEXT,,,,
108,Pump Mechanical & Electrical Information,,Pump Setting - Diameter (m),TEXT,,,,
109,Pump Mechanical & Electrical Information,,Pump Setting - Material,TEXT,,,,
110,Pump Mechanical & Electrical Information,,Pump Setting - Jointing Type,TEXT,,,,
111,Pump Mechanical & Electrical Information,,Static Water Level TOC (m bgl),TEXT,,,,
112,Pump Mechanical & Electrical Information,,Static Water Level - Date/Time,TEXT,,,,
113,Pump Mechanical & Electrical Information,,Pump Machinery Condition,MULTIPLE_CHOICE_SINGLE,I: All components fully functional - No repairment in last 1 year|II: Good condition with minimal repairs - Repairment 1-2 times in 1 year|III: Noticeable wear and tear - Repairment 3-4 times in 1 year|IV: Significant wear and tear with frequent repairs - Repairment 5-6 times in 1 year|V: Very poor condition with extensive repairs - Repairment more than 6 times in 1 year,,,
114,Pump Mechanical & Electrical Information,,Motor Control Unit Installed?,YES_NO,Functionality: Yes|No,,,
